ERROR:root:Error processing PDF for angul: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo-0125 in organization org-AfxWlGoVcL0v9Hq5G1shdMMD on tokens per min (TPM): Limit 160000, Used 159660, Requested 1345. Please try again in 376ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}
ERROR:root:Error processing PDF for nayagarh: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo-0125 in organization org-AfxWlGoVcL0v9Hq5G1shdMMD on tokens per min (TPM): Limit 160000, Used 159488, Requested 1533. Please try again in 382ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}
ERROR:root:Error processing PDF for kandhamal: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo-0125 in organization org-AfxWlGoVcL0v9Hq5G1shdMMD on tokens per min (TPM): Limit 160000, Used 159439, Requested 1561. Please try again in 375ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}
ERROR:root:Error processing PDF for gajapati: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo-0125 in organization org-AfxWlGoVcL0v9Hq5G1shdMMD on tokens per min (TPM): Limit 160000, Used 159343, Requested 1671. Please try again in 380ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}
ERROR:root:Error processing PDF for keonjhar: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo-0125 in organization org-AfxWlGoVcL0v9Hq5G1shdMMD on tokens per min (TPM): Limit 160000, Used 159316, Requested 1716. Please try again in 387ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}
ERROR:root:Error processing PDF for nabarangpur: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo-0125 in organization org-AfxWlGoVcL0v9Hq5G1shdMMD on tokens per min (TPM): Limit 160000, Used 159251, Requested 1756. Please try again in 377ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}
ERROR:root:Error processing PDF for malkangiri: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo-0125 in organization org-AfxWlGoVcL0v9Hq5G1shdMMD on tokens per min (TPM): Limit 160000, Used 159190, Requested 1790. Please try again in 367ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}
ERROR:root:Error processing PDF for koraput: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo-0125 in organization org-AfxWlGoVcL0v9Hq5G1shdMMD on tokens per min (TPM): Limit 160000, Used 159161, Requested 1811. Please try again in 364ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}
ERROR:root:Error processing PDF for jajpur: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo-0125 in organization org-AfxWlGoVcL0v9Hq5G1shdMMD on tokens per min (TPM): Limit 160000, Used 159158, Requested 1855. Please try again in 379ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}
ERROR:root:Error processing PDF for bhadrak: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo-0125 in organization org-AfxWlGoVcL0v9Hq5G1shdMMD on tokens per min (TPM): Limit 160000, Used 159120, Requested 1894. Please try again in 380ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}
ERROR:root:Error processing PDF for balasore: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-3.5-turbo-0125 in organization org-AfxWlGoVcL0v9Hq5G1shdMMD on tokens per min (TPM): Limit 160000, Used 159069, Requested 1901. Please try again in 363ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}
